Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Current Value,Comparison Value
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Won ARR,Increase,21.26%,614613.6000000001,3505271.32,2890657.7199999997
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Avg Sales Price,Increase,65.23%,2333.5348008114474,5911.081483979764,3577.5466831683166
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Win Rate (Count),Increase,46.44%,12.54533000825916,39.55970647098066,27.014376462721497
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Avg Sales Cycle,Increase,32.01%,15.655827893075994,64.57166947723441,48.915841584158414
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,Pipegen ARR,Increase,0.00%,14380417.86,14380417.86,0.0
FY2024Q3,vs Prev Year (FY2023Q3),Overall Total,# of Pipegen Opps,Increase,0.00%,1270.0,1270.0,0.0
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Total ARR,Increase,61.63%,4663970.295,12231174.41,7567204.115
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,# of Opps,Decrease,-32.51%,-727.5,1510.0,2237.5
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,# of Won Opps,Decrease,-7.92%,-51.0,593.0,644.0
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Won ARR,Increase,18.95%,558511.625,3505271.32,2946759.695
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Avg Sales Price,Increase,23.83%,1137.5441779458379,5911.081483979764,4773.537306033926
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Win Rate (Count),Increase,31.67%,9.515609872747909,39.55970647098066,30.04409659823275
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Avg Sales Cycle,Increase,20.72%,11.08241235486556,64.57166947723441,53.48925712236885
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,Pipegen ARR,Increase,10.88%,1410579.504999999,14380417.86,12969838.355
FY2024Q3,vs Avg of FY2023Q3-FY2024Q2,Overall Total,# of Pipegen Opps,Increase,48.49%,414.75,1270.0,855.25
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Total ARR,Decrease,-3.19%,-389718.55000000075,11841455.86,12231174.41
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,# of Opps,Decrease,-16.62%,-251.0,1259.0,1510.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,# of Won Opps,Decrease,-16.53%,-98.0,495.0,593.0
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Won ARR,Increase,2.50%,87637.87999999989,3592909.1999999997,3505271.32
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Avg Sales Price,Increase,22.79%,1347.3209402626599,7258.402424242424,5911.081483979764
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Win Rate (Count),Increase,0.99%,0.39186737889827583,39.95157384987893,39.55970647098066
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Avg Sales Cycle,Increase,9.85%,6.359643654078724,70.93131313131313,64.57166947723441
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,Pipegen ARR,Increase,7.63%,1096921.5899999999,15477339.45,14380417.86
FY2024Q4,vs Prev Q (FY2024Q3),Overall Total,# of Pipegen Opps,Increase,17.40%,221.0,1491.0,1270.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Total ARR,Increase,384.51%,9397446.45,11841455.86,2444009.41
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,# of Opps,Decrease,-49.23%,-1221.0,1259.0,2480.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,# of Won Opps,Decrease,-26.78%,-181.0,495.0,676.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Won ARR,Increase,56.45%,1296393.79,3592909.1999999997,2296515.4099999997
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Avg Sales Price,Increase,113.66%,3861.1902792720102,7258.402424242424,3397.2121449704136
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Win Rate (Count),Increase,46.33%,12.649473688328044,39.95157384987893,27.30210016155089
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Avg Sales Cycle,Increase,49.85%,23.596993604685913,70.93131313131313,47.33431952662722
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,Pipegen ARR,Increase,0.00%,15477339.45,15477339.45,0.0
FY2024Q4,vs Prev Year (FY2023Q4),Overall Total,# of Pipegen Opps,Increase,0.00%,1491.0,1491.0,0.0
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Total ARR,Increase,19.73%,1951590.6724999994,11841455.86,9889865.1875
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,# of Opps,Decrease,-32.51%,-606.5,1259.0,1865.5
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,# of Won Opps,Decrease,-16.14%,-95.25,495.0,590.25
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Won ARR,Increase,15.88%,492496.1049999995,3592909.1999999997,3100413.095
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Avg Sales Price,Increase,35.50%,1901.4814180056364,7258.402424242424,5356.921006236787
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Win Rate (Count),Increase,20.41%,6.771144749581403,39.95157384987893,33.18042910029753
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Avg Sales Cycle,Increase,23.57%,13.528099035675282,70.93131313131313,57.40321409563785
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Pipegen ARR,Decrease,-6.57%,-1087603.370000001,15477339.45,16564942.82
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,# of Pipegen Opps,Increase,27.14%,318.25,1491.0,1172.75
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Total ARR,Decrease,-6.65%,-787839.5499999989,11053616.31,11841455.86
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Opps,Decrease,-3.89%,-49.0,1210.0,1259.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Won Opps,Increase,3.23%,16.0,511.0,495.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Won ARR,Decrease,-3.14%,-112924.29000000004,3479984.9099999997,3592909.1999999997
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Avg Sales Price,Decrease,-6.18%,-448.25582933048736,6810.1465949119365,7258.402424242424
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Win Rate (Count),Increase,6.68%,2.6672751909884553,42.61884904086739,39.95157384987893
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Avg Sales Cycle,Decrease,-10.40%,-7.373583190021549,63.55772994129158,70.93131313131313
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Pipegen ARR,Decrease,-100.00%,-15477339.45,0.0,15477339.45
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1491.0,0.0,1491.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Total ARR,Decrease,-22.83%,-3269440.24,11053616.31,14323056.55
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Opps,Decrease,-43.27%,-923.0,1210.0,2133.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Won Opps,Decrease,-11.13%,-64.0,511.0,575.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Won ARR,Increase,5.05%,167381.99999999953,3479984.9099999997,3312602.91
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Price,Increase,18.21%,1049.098055781502,6810.1465949119365,5761.048539130435
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Win Rate (Count),Increase,57.58%,15.572753086022608,42.61884904086739,27.04609595484478
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Cycle,Increase,33.25%,15.858599506508973,63.55772994129158,47.69913043478261
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Pipegen ARR,Decrease,-100.00%,-28257884.25,0.0,28257884.25
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1878.0,0.0,1878.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Total ARR,Decrease,-9.69%,-1185610.4900000002,11053616.31,12239226.8
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Opps,Decrease,-22.45%,-350.25,1210.0,1560.25
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Won Opps,Decrease,-6.24%,-34.0,511.0,545.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Won ARR,Increase,1.62%,55473.3674999997,3479984.9099999997,3424511.5425
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Avg Sales Price,Increase,7.72%,487.9280188571465,6810.1465949119365,6322.21857605479
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Win Rate (Count),Increase,17.27%,6.27605151848784,42.61884904086739,36.34279752237955
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Avg Sales Cycle,Increase,0.40%,0.25526744448225713,63.55772994129158,63.302462496809326
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Pipegen ARR,Decrease,-100.00%,-20434277.6825,0.0,20434277.6825
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1545.5,0.0,1545.5
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Total ARR,Increase,0.12%,13098.789999999106,11066715.1,11053616.31
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Opps,Decrease,-3.47%,-42.0,1168.0,1210.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Won Opps,Decrease,-5.87%,-30.0,481.0,511.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Won ARR,Decrease,-11.07%,-385162.2799999998,3094822.63,3479984.9099999997
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Avg Sales Price,Decrease,-5.52%,-376.0039129992547,6434.142681912682,6810.1465949119365
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Win Rate (Count),Decrease,-2.79%,-1.1890471459492176,41.42980189491817,42.61884904086739
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Avg Sales Cycle,Increase,4.74%,3.0119166283549816,66.56964656964657,63.55772994129158
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Total ARR,Increase,4.79%,505494.7199999988,11066715.1,10561220.38
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Opps,Decrease,-12.77%,-171.0,1168.0,1339.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Won Opps,Decrease,-6.96%,-36.0,481.0,517.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Won ARR,Decrease,-5.85%,-192440.11000000034,3094822.63,3287262.74
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Avg Sales Price,Increase,1.19%,75.80082504614347,6434.142681912682,6358.341856866538
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Win Rate (Count),Increase,6.74%,2.615988081104355,41.42980189491817,38.813813813813816
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Avg Sales Cycle,Decrease,-4.91%,-3.4380903742605966,66.56964656964657,70.00773694390716
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Pipegen ARR,Decrease,-100.00%,-23621469.17,0.0,23621469.17
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1543.0,0.0,1543.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Total ARR,Decrease,-3.11%,-355151.6400000006,11066715.1,11421866.74
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Opps,Decrease,-12.15%,-161.5,1168.0,1329.5
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Won Opps,Decrease,-9.07%,-48.0,481.0,529.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Won ARR,Decrease,-10.72%,-371534.4125000001,3094822.63,3466357.0425
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Avg Sales Price,Decrease,-2.28%,-150.35040808748363,6434.142681912682,6584.4930900001655
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Win Rate (Count),Increase,2.97%,1.1938161010329722,41.42980189491817,40.2359857938852
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Avg Sales Cycle,Decrease,-1.04%,-0.6974658037900099,66.56964656964657,67.26711237343658
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Pipegen ARR,Decrease,-100.00%,-13369806.620000001,0.0,13369806.620000001
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1076.0,0.0,1076.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Total ARR,Increase,7.05%,780553.5,11847268.6,11066715.1
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Opps,Increase,5.22%,61.0,1229.0,1168.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Won Opps,Decrease,-5.20%,-25.0,456.0,481.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Won ARR,Decrease,-5.63%,-174148.13999999966,2920674.49,3094822.63
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Avg Sales Price,Decrease,-0.45%,-29.154765246014904,6404.987916666667,6434.142681912682
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Win Rate (Count),Decrease,-9.34%,-3.868022652743541,37.56177924217463,41.42980189491817
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Avg Sales Cycle,Increase,14.80%,9.849213079476243,76.41885964912281,66.56964656964657
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Total ARR,Decrease,-3.14%,-383905.8100000005,11847268.6,12231174.41
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Opps,Decrease,-18.61%,-281.0,1229.0,1510.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Won Opps,Decrease,-23.10%,-137.0,456.0,593.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Won ARR,Decrease,-16.68%,-584596.8299999996,2920674.49,3505271.32
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Price,Increase,8.36%,493.9064326869029,6404.987916666667,5911.081483979764
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Win Rate (Count),Decrease,-5.05%,-1.9979272288060272,37.56177924217463,39.55970647098066
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Cycle,Increase,18.35%,11.8471901718884,76.41885964912281,64.57166947723441
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Pipegen ARR,Decrease,-100.00%,-14380417.86,0.0,14380417.86
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1270.0,0.0,1270.0
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Total ARR,Increase,2.59%,299028.1799999997,11847268.6,11548240.42
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Opps,Decrease,-4.49%,-57.75,1229.0,1286.75
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Won Opps,Decrease,-12.31%,-64.0,456.0,520.0
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Won ARR,Decrease,-14.56%,-497572.52499999944,2920674.49,3418247.0149999997
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Price,Decrease,-3.01%,-198.45537959503508,6404.987916666667,6603.443296261702
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Win Rate (Count),Decrease,-8.14%,-3.3282035719866556,37.56177924217463,40.889982814161286
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Cycle,Increase,15.08%,10.011269869251379,76.41885964912281,66.40758977987143
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Pipegen ARR,Decrease,-100.00%,-7464439.3275,0.0,7464439.3275
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Pipegen Opps,Decrease,-100.00%,-690.25,0.0,690.25
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Total ARR,Decrease,-6.67%,-789620.5499999989,11057648.05,11847268.6
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Opps,Decrease,-7.40%,-91.0,1138.0,1229.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Won Opps,Decrease,-12.28%,-56.0,400.0,456.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Won ARR,Increase,8.46%,246987.43999999948,3167661.9299999997,2920674.49
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Price,Increase,23.64%,1514.1669083333327,7919.154825,6404.987916666667
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Win Rate (Count),Decrease,-4.92%,-1.8474935278889149,35.714285714285715,37.56177924217463
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Cycle,Increase,0.99%,0.7561403508771889,77.175,76.41885964912281
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Total ARR,Decrease,-6.62%,-783807.8099999987,11057648.05,11841455.86
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Opps,Decrease,-9.61%,-121.0,1138.0,1259.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Won Opps,Decrease,-19.19%,-95.0,400.0,495.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Won ARR,Decrease,-11.84%,-425247.27,3167661.9299999997,3592909.1999999997
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Avg Sales Price,Increase,9.10%,660.7524007575757,7919.154825,7258.402424242424
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Win Rate (Count),Decrease,-10.61%,-4.237288135593218,35.714285714285715,39.95157384987893
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Avg Sales Cycle,Increase,8.80%,6.243686868686865,77.175,70.93131313131313
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Pipegen ARR,Decrease,-100.00%,-15477339.45,0.0,15477339.45
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Pipegen Opps,Decrease,-100.00%,-1491.0,0.0,1491.0
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Total ARR,Decrease,-3.45%,-394615.91750000045,11057648.05,11452263.967500001
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Opps,Decrease,-6.45%,-78.5,1138.0,1216.5
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Won Opps,Decrease,-17.65%,-85.75,400.0,485.75
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Won ARR,Decrease,-3.19%,-104435.87749999994,3167661.9299999997,3272097.8074999996
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Avg Sales Price,Increase,17.72%,1192.2349205665723,7919.154825,6726.919904433427
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Win Rate (Count),Decrease,-11.58%,-4.676215292674065,35.714285714285715,40.39050100695978
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Avg Sales Cycle,Increase,11.25%,7.805612677156475,77.175,69.36938732284352
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Pipegen ARR,Decrease,-100.00%,-3869334.8625,0.0,3869334.8625
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Pipegen Opps,Decrease,-100.00%,-372.75,0.0,372.75
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Total ARR,Increase,30.49%,3371651.91,14429299.96,11057648.05
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Opps,Increase,26.45%,301.0,1439.0,1138.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Won Opps,Increase,4.25%,17.0,417.0,400.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Won ARR,Decrease,-0.88%,-27831.33999999985,3139830.59,3167661.9299999997
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Price,Decrease,-4.92%,-389.5850648081532,7529.569760191846,7919.154825
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Win Rate (Count),Decrease,-17.43%,-6.223479490806223,29.490806223479492,35.714285714285715
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Cycle,Decrease,-24.90%,-19.213369304556352,57.961630695443645,77.175
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Total ARR,Increase,30.54%,3375683.6500000004,14429299.96,11053616.31
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Opps,Increase,18.93%,229.0,1439.0,1210.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Won Opps,Decrease,-18.40%,-94.0,417.0,511.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Won ARR,Decrease,-9.77%,-340154.31999999983,3139830.59,3479984.9099999997
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Avg Sales Price,Increase,10.56%,719.4231652799099,7529.569760191846,6810.1465949119365
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Win Rate (Count),Decrease,-30.80%,-13.128042817387897,29.490806223479492,42.61884904086739
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Avg Sales Cycle,Decrease,-8.80%,-5.596099245847938,57.961630695443645,63.55772994129158
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Total ARR,Increase,28.19%,3172987.9450000003,14429299.96,11256312.015
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Opps,Increase,21.31%,252.75,1439.0,1186.25
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Won Opps,Decrease,-9.74%,-45.0,417.0,462.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Won ARR,Decrease,-0.82%,-25955.399999999907,3139830.59,3165785.9899999998
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Price,Increase,9.25%,637.4617555690247,7529.569760191846,6892.108004622822
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Win Rate (Count),Decrease,-25.02%,-9.840372749581984,29.490806223479492,39.331178973061476
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Cycle,Decrease,-18.28%,-12.9686783445716,57.961630695443645,70.93030904001525
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Total ARR,Decrease,-3.18%,-458856.26000000164,13970443.7,14429299.96
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Opps,Decrease,-2.99%,-43.0,1396.0,1439.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Won Opps,Decrease,-15.83%,-66.0,351.0,417.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Won ARR,Decrease,-29.37%,-922202.8699999996,2217627.72,3139830.59
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Avg Sales Price,Decrease,-16.09%,-1211.5420678841538,6318.027692307693,7529.569760191846
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Win Rate (Count),Increase,3.23%,0.9515181477260555,30.442324371205547,29.490806223479492
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Avg Sales Cycle,Increase,7.33%,4.249195515382567,62.21082621082621,57.961630695443645
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Total ARR,Increase,26.24%,2903728.5999999996,13970443.7,11066715.1
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Opps,Increase,19.52%,228.0,1396.0,1168.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Won Opps,Decrease,-27.03%,-130.0,351.0,481.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Won ARR,Decrease,-28.34%,-877194.9099999997,2217627.72,3094822.63
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Avg Sales Price,Decrease,-1.80%,-116.1149896049892,6318.027692307693,6434.142681912682
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Win Rate (Count),Decrease,-26.52%,-10.987477523712624,30.442324371205547,41.42980189491817
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Avg Sales Cycle,Decrease,-6.55%,-4.358820358820353,62.21082621082621,66.56964656964657
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Total ARR,Increase,15.46%,1870210.772499999,13970443.7,12100232.9275
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Opps,Increase,12.26%,152.5,1396.0,1243.5
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Won Opps,Decrease,-19.95%,-87.5,351.0,438.5
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Won ARR,Decrease,-28.02%,-863119.69,2217627.72,3080747.41
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Avg Sales Price,Decrease,-10.66%,-753.9361036351065,6318.027692307693,7071.963795942799
