Quarter,Comparison,Group,Metric,% Change,Abs Change,Type
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: Expansion,Total ARR,23.15%,"1,175,039.60",Increase
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: Expansion,# of Won Opps,-40.80%,-153.00,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: Expansion,Win Rate (Count),-19.45%,-10.98,Drop/Decrease
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: New Business,Total ARR,25.55%,"1,530,216.55",Increase
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: New Business,# of Opps,23.29%,116.00,Increase
FY2026Q2,vs Prev Year (FY2025Q2),By Bookings Type: New Business,Avg Sales Price,-31.69%,"-3,261.42",Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,By Bookings Type: Expansion,# of Won Opps,-33.78%,-113.25,Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,By Bookings Type: Expansion,Avg Sales Cycle,-14.85%,-10.50,Drop/Decrease
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,By Bookings Type: New Business,Avg Sales Price,-35.23%,"-3,824.80",Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: Expansion,# of Opps,-50.63%,-363.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: Expansion,# of Won Opps,-100.00%,-222.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-6,083.32",Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: Expansion,Win Rate (Count),-100.00%,-45.49,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: New Business,Total ARR,52.28%,"3,931,621.13",Increase
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: New Business,# of Opps,-21.82%,-134.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: New Business,# of Won Opps,-100.00%,-85.00,Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: New Business,Avg Sales Price,-100.00%,"-7,031.76",Drop/Decrease
FY2026Q3,vs Prev Q (FY2026Q2),By Bookings Type: New Business,Win Rate (Count),-100.00%,-17.17,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: Expansion,# of Opps,-51.17%,-371.00,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: Expansion,# of Won Opps,-100.00%,-357.00,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-5,718.21",Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: Expansion,Win Rate (Count),-100.00%,-50.21,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: New Business,Total ARR,109.08%,"5,974,626.81",Increase
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: New Business,# of Won Opps,-100.00%,-99.00,Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: New Business,Avg Sales Price,-100.00%,"-8,881.57",Drop/Decrease
FY2026Q3,vs Prev Year (FY2025Q3),By Bookings Type: New Business,Win Rate (Count),-100.00%,-19.68,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: Expansion,# of Opps,-49.84%,-351.75,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: Expansion,# of Won Opps,-100.00%,-297.00,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-6,065.28",Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: Expansion,Win Rate (Count),-100.00%,-46.61,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: New Business,Total ARR,70.29%,"4,727,151.77",Increase
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: New Business,# of Won Opps,-100.00%,-98.00,Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: New Business,Avg Sales Price,-100.00%,"-10,041.20",Drop/Decrease
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,By Bookings Type: New Business,Win Rate (Count),-100.00%,-18.41,Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),By Bookings Type: Expansion,Total ARR,-53.88%,"-3,576,516.30",Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),By Bookings Type: Expansion,# of Opps,-83.33%,-295.00,Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),By Bookings Type: New Business,Total ARR,-88.80%,"-10,168,997.12",Drop/Decrease
FY2026Q4,vs Prev Q (FY2026Q3),By Bookings Type: New Business,# of Opps,-92.92%,-446.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Total ARR,-43.13%,"-2,321,815.22",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,# of Opps,-90.94%,-592.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,# of Won Opps,-100.00%,-286.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-6,335.89",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Win Rate (Count),-100.00%,-45.11,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Total ARR,-77.39%,"-4,391,132.39",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,# of Opps,-93.02%,-453.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,# of Won Opps,-100.00%,-114.00,Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Avg Sales Price,-100.00%,"-11,891.22",Drop/Decrease
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Win Rate (Count),-100.00%,-23.46,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Total ARR,-49.96%,"-3,057,080.79",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,# of Opps,-90.38%,-554.00,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,# of Won Opps,-100.00%,-207.75,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-4,635.73",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Win Rate (Count),-100.00%,-34.06,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Total ARR,-84.39%,"-6,935,502.05",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,# of Opps,-94.06%,-538.50,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,# of Won Opps,-100.00%,-73.25,Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Avg Sales Price,-100.00%,"-7,820.81",Drop/Decrease
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Win Rate (Count),-100.00%,-13.49,Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: Expansion,Total ARR,-54.67%,"-1,673,669.98",Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: Expansion,# of Opps,-79.66%,-47.00,Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: New Business,Total ARR,-72.81%,"-934,203.60",Drop/Decrease
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: New Business,# of Opps,-88.24%,-30.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Total ARR,-77.62%,"-4,813,766.80",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,# of Opps,-98.36%,-718.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,# of Won Opps,-100.00%,-323.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-6,123.73",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Win Rate (Count),-100.00%,-45.62,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Total ARR,-95.76%,"-7,878,706.30",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,# of Opps,-99.44%,-705.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,# of Won Opps,-100.00%,-94.00,Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Avg Sales Price,-100.00%,"-12,360.27",Drop/Decrease
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Win Rate (Count),-100.00%,-13.31,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Total ARR,-74.94%,"-4,150,296.97",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,# of Opps,-97.42%,-453.00,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,# of Won Opps,-100.00%,-136.25,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-3,051.76",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Win Rate (Count),-100.00%,-22.78,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Total ARR,-95.10%,"-6,771,922.55",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,# of Opps,-99.13%,-455.25,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,# of Won Opps,-100.00%,-44.75,Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Avg Sales Price,-100.00%,"-4,848.01",Drop/Decrease
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Win Rate (Count),-100.00%,-7.62,Drop/Decrease
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: Expansion,Total ARR,-88.56%,"-1,229,194.86",Drop/Decrease
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: Expansion,# of Opps,-75.00%,-9.00,Drop/Decrease
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: New Business,Total ARR,-77.88%,"-271,722.00",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Total ARR,-97.46%,"-6,092,759.66",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,# of Opps,-99.58%,-714.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,# of Won Opps,-100.00%,-222.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-6,083.32",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Win Rate (Count),-100.00%,-45.49,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Total ARR,-98.97%,"-7,443,301.59",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,# of Opps,-99.67%,-612.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,# of Won Opps,-100.00%,-85.00,Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Avg Sales Price,-100.00%,"-7,031.76",Drop/Decrease
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Win Rate (Count),-100.00%,-17.17,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Total ARR,-96.34%,"-4,176,050.12",Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,# of Opps,-98.95%,-282.50,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,# of Won Opps,-100.00%,-55.50,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Avg Sales Price,-100.00%,"-1,520.83",Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Win Rate (Count),-100.00%,-11.37,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,Total ARR,-98.50%,"-5,073,967.98",Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,# of Opps,-99.29%,-281.00,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,# of Won Opps,-100.00%,-21.25,Drop/Decrease
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,Avg Sales Price,-100.00%,"-1,757.94",Drop/Decrease
FY2027Q3,vs Prev Q (FY2027Q2),By Bookings Type: Expansion,Total ARR,-62.60%,"-99,375.80",Drop/Decrease
FY2027Q3,vs Prev Year (FY2026Q3),By Bookings Type: Expansion,Total ARR,-99.11%,"-6,578,756.94",Drop/Decrease
FY2027Q3,vs Prev Year (FY2026Q3),By Bookings Type: Expansion,# of Opps,-99.15%,-351.00,Drop/Decrease
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,By Bookings Type: Expansion,Total ARR,-97.89%,"-2,752,236.01",Drop/Decrease
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,By Bookings Type: Expansion,# of Opps,-97.20%,-104.00,Drop/Decrease
FY2027Q4,vs Prev Q (FY2027Q3),By Bookings Type: Expansion,Total ARR,-100.00%,"-59,360.20",Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: Expansion,Total ARR,-100.00%,"-3,061,600.84",Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: Expansion,# of Opps,-98.31%,-58.00,Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: New Business,Total ARR,-99.45%,"-1,276,062.80",Drop/Decrease
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: New Business,# of Opps,-97.06%,-33.00,Drop/Decrease
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,By Bookings Type: Expansion,Total ARR,-100.00%,"-1,166,906.97",Drop/Decrease
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,By Bookings Type: Expansion,# of Opps,-94.81%,-18.25,Drop/Decrease
FY2028Q1,vs Prev Year (FY2027Q1),By Bookings Type: Expansion,Total ARR,-95.78%,"-1,329,421.10",Drop/Decrease
FY2028Q1,vs Prev Year (FY2027Q1),By Bookings Type: Expansion,# of Opps,-83.33%,-10.00,Drop/Decrease
FY2028Q1,vs Avg of FY2027Q1-FY2027Q4,By Bookings Type: Expansion,Total ARR,-85.43%,"-342,997.00",Drop/Decrease
FY2028Q2,vs Prev Year (FY2027Q2),By Bookings Type: New Business,Total ARR,-92.02%,"-71,016.80",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Total ARR,-21.85%,"-1,535,668.66",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,# of Opps,-24.52%,-165.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Win Rate (Count),35.55%,9.95,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Avg Sales Cycle,49.19%,28.98,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,# of Opps,-21.59%,-125.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,Win Rate (Count),25.89%,8.02,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,Avg Sales Cycle,36.11%,19.80,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Total ARR,-44.17%,"-1,443,179.93",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,# of Opps,-58.10%,-484.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,# of Won Opps,-31.58%,-66.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Win Rate (Count),64.53%,16.21,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Avg Sales Cycle,30.15%,9.51,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Self Serve,Total ARR,-51.71%,"-50,042.34",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Self Serve,# of Opps,-53.57%,-15.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Self Serve,Win Rate (Count),0.00%,16.67,Increase
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Self Service,Win Rate (Count),0.00%,21.43,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Enterprise,Avg Sales Price,-23.90%,"-2,181.79",Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Mid Market,Total ARR,22.02%,"684,534.58",Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Mid Market,Avg Sales Price,20.51%,"1,045.48",Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Mid Market,Avg Sales Cycle,-16.20%,-12.09,Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: SMB,Total ARR,23.99%,"437,652.18",Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: SMB,Avg Sales Cycle,21.12%,8.67,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Serve,# of Opps,-76.92%,-10.00,Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Serve,Avg Sales Price,-100.00%,"-3,373.14",Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Serve,Win Rate (Count),-100.00%,-16.67,Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Service,# of Opps,33.33%,5.00,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Service,# of Won Opps,233.33%,7.00,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Service,Avg Sales Price,-55.36%,"-1,222.50",Drop/Decrease
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Service,Win Rate (Count),174.51%,37.39,Increase
FY2024Q3,vs Prev Q (FY2024Q2),By Segment: Self Service,Avg Sales Cycle,-53.85%,-21.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Enterprise,# of Opps,-21.55%,-125.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Enterprise,Avg Sales Price,42.88%,"2,978.15",Increase
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Enterprise,Win Rate (Count),16.33%,5.97,Increase
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Mid Market,# of Won Opps,-28.71%,-60.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Mid Market,Win Rate (Count),-17.39%,-7.43,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Self Service,Total ARR,304.79%,"143,429.78",Increase
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Self Service,# of Opps,-55.00%,-11.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Self Service,# of Won Opps,-100.00%,-10.00,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Self Service,Avg Sales Price,-100.00%,-985.60,Drop/Decrease
FY2024Q4,vs Prev Q (FY2024Q3),By Segment: Self Service,Win Rate (Count),-100.00%,-58.82,Drop/Decrease
FY2025Q1,vs Prev Q (FY2024Q4),By Segment: Enterprise,Avg Sales Cycle,-18.43%,-16.29,Drop/Decrease
FY2025Q1,vs Prev Q (FY2024Q4),By Segment: Self Service,Total ARR,-78.18%,"-148,919.64",Drop/Decrease
FY2025Q1,vs Prev Q (FY2024Q4),By Segment: Self Service,Win Rate (Count),0.00%,83.33,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Enterprise,Total ARR,-20.28%,"-1,425,355.95",Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Enterprise,# of Opps,-32.39%,-218.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Enterprise,Avg Sales Price,22.19%,"1,712.98",Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Enterprise,Win Rate (Count),46.21%,12.94,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Enterprise,Avg Sales Cycle,22.44%,13.22,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Mid Market,# of Opps,-29.53%,-171.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Mid Market,Win Rate (Count),28.20%,8.73,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Mid Market,Avg Sales Cycle,26.85%,14.72,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: SMB,Total ARR,-33.89%,"-1,107,134.41",Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: SMB,# of Opps,-59.18%,-493.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: SMB,# of Won Opps,-22.97%,-48.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: SMB,Win Rate (Count),89.62%,22.51,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: SMB,Avg Sales Cycle,55.78%,17.60,Increase
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Self Service,Total ARR,-69.72%,"-95,712.32",Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Self Service,# of Opps,-55.56%,-10.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),By Segment: Self Service,Win Rate (Count),0.00%,83.33,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: SMB,# of Opps,-30.58%,-149.75,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: SMB,Win Rate (Count),27.71%,10.34,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: SMB,Avg Sales Cycle,15.01%,6.41,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: Self Service,Total ARR,-64.02%,"-73,976.27",Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: Self Service,# of Opps,-48.39%,-7.50,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: Self Service,Avg Sales Price,263.11%,"2,100.76",Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: Self Service,Win Rate (Count),315.36%,63.27,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,By Segment: Self Service,Avg Sales Cycle,-36.84%,-10.50,Drop/Decrease
FY2025Q2,vs Prev Q (FY2025Q1),By Segment: SMB,# of Opps,20.00%,68.00,Increase
FY2025Q2,vs Prev Q (FY2025Q1),By Segment: Self Service,Avg Sales Price,42.38%,"1,228.75",Increase
FY2025Q2,vs Prev Q (FY2025Q1),By Segment: Self Service,Win Rate (Count),-40.00%,-33.33,Drop/Decrease
FY2025Q2,vs Prev Q (FY2025Q1),By Segment: Self Service,Avg Sales Cycle,-94.44%,-17.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Enterprise,# of Opps,-20.08%,-102.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Enterprise,Win Rate (Count),13.88%,5.27,Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Mid Market,# of Opps,-23.57%,-107.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Mid Market,# of Won Opps,-27.12%,-48.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: SMB,Total ARR,39.56%,"721,525.27",Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: SMB,# of Won Opps,22.38%,32.00,Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: SMB,Avg Sales Price,21.67%,938.19,Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: SMB,Avg Sales Cycle,17.35%,7.13,Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Self Service,Total ARR,-77.24%,"-67,468.94",Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Self Service,# of Opps,-66.67%,-10.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Self Service,Avg Sales Price,86.95%,"1,919.84",Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Self Service,Win Rate (Count),133.33%,28.57,Increase
FY2025Q2,vs Prev Year (FY2024Q2),By Segment: Self Service,Avg Sales Cycle,-97.44%,-38.00,Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Mid Market,# of Opps,-22.20%,-99.00,Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Mid Market,# of Won Opps,-25.76%,-44.75,Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Self Service,Total ARR,-78.30%,"-71,733.87",Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Self Service,# of Opps,-61.54%,-8.00,Drop/Decrease
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Self Service,Avg Sales Price,171.00%,"2,604.72",Increase
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Self Service,Win Rate (Count),22.26%,9.10,Increase
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,By Segment: Self Service,Avg Sales Cycle,-96.00%,-24.00,Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),By Segment: Enterprise,Win Rate (Count),-16.36%,-7.07,Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),By Segment: Mid Market,Avg Sales Price,33.36%,"1,815.25",Increase
FY2025Q3,vs Prev Q (FY2025Q2),By Segment: SMB,# of Opps,26.96%,110.00,Increase
FY2025Q3,vs Prev Q (FY2025Q2),By Segment: SMB,Win Rate (Count),-13.17%,-5.68,Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),By Segment: SMB,Avg Sales Cycle,39.33%,18.95,Increase
