Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type,Current Value,Comparison Value
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Win Rate (Count),Increase,20.41%,6.771144749581403,Percentage,39.95157384987893,33.18042910029753
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Avg Sales Cycle,Increase,23.57%,13.528099035675282,Days,70.93131313131313,57.40321409563785
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,Pipegen ARR,Drop/Decrease,-4.56%,-739053.4075000007,ARR,15464033.52,16203086.9275
FY2024Q4,vs Avg of FY2023Q4-FY2024Q3,Overall Total,# of Pipegen Opps,Increase,29.99%,344.25,Count,1492.0,1147.75
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Total ARR,Drop/Decrease,-6.65%,-787840.4299999997,ARR,11053615.43,11841455.86
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Opps,Drop/Decrease,-3.81%,-48.0,Count,1211.0,1259.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Won Opps,Increase,3.23%,16.0,Count,511.0,495.0
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Won ARR,Drop/Decrease,-3.14%,-112924.29000000004,ARR,3479984.91,3592909.2
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Avg Sales Price,Drop/Decrease,-6.18%,-448.25582933048736,Currency,6810.146594911937,7258.402424242425
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Win Rate (Count),Increase,6.68%,2.6672751909884553,Percentage,42.61884904086739,39.95157384987893
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Avg Sales Cycle,Drop/Decrease,-10.40%,-7.373583190021549,Days,63.55772994129158,70.93131313131313
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-15464033.52,ARR,0.0,15464033.52
FY2025Q1,vs Prev Q (FY2024Q4),Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1492.0,Count,0.0,1492.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Total ARR,Drop/Decrease,-22.83%,-3269441.120000001,ARR,11053615.43,14323056.55
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Opps,Drop/Decrease,-43.23%,-922.0,Count,1211.0,2133.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Won Opps,Drop/Decrease,-11.13%,-64.0,Count,511.0,575.0
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Won ARR,Increase,5.05%,167382.0,ARR,3479984.91,3312602.91
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Price,Increase,18.21%,1049.0980557815028,Currency,6810.146594911937,5761.048539130435
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Win Rate (Count),Increase,57.58%,15.572753086022608,Percentage,42.61884904086739,27.04609595484478
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Avg Sales Cycle,Increase,33.25%,15.858599506508973,Days,63.55772994129158,47.69913043478261
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-27834993.46,ARR,0.0,27834993.46
FY2025Q1,vs Prev Year (FY2024Q1),Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1871.0,Count,0.0,1871.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Total ARR,Drop/Decrease,-9.69%,-1185611.370000001,ARR,11053615.43,12239226.8
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Opps,Drop/Decrease,-22.38%,-349.25,Count,1211.0,1560.25
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Won Opps,Drop/Decrease,-6.24%,-34.0,Count,511.0,545.0
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Won ARR,Increase,1.62%,55473.3674999997,ARR,3479984.91,3424511.5425000004
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Avg Sales Price,Increase,7.72%,487.92801885714744,Currency,6810.146594911937,6322.21857605479
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Win Rate (Count),Increase,17.27%,6.27605151848784,Percentage,42.61884904086739,36.34279752237955
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Avg Sales Cycle,Increase,0.40%,0.25526744448225713,Days,63.55772994129158,63.302462496809326
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-20069095.3075,ARR,0.0,20069095.3075
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1520.75,Count,0.0,1520.75
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Total ARR,Increase,0.12%,13099.669999999925,ARR,11066715.1,11053615.43
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Opps,Drop/Decrease,-3.55%,-43.0,Count,1168.0,1211.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Won Opps,Drop/Decrease,-5.87%,-30.0,Count,481.0,511.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Won ARR,Drop/Decrease,-11.07%,-385162.28000000026,ARR,3094822.63,3479984.91
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Avg Sales Price,Drop/Decrease,-5.52%,-376.0039129992556,Currency,6434.142681912682,6810.146594911937
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Win Rate (Count),Drop/Decrease,-2.79%,-1.1890471459492176,Percentage,41.42980189491817,42.61884904086739
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Avg Sales Cycle,Increase,4.74%,3.0119166283549816,Days,66.56964656964657,63.55772994129158
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2025Q2,vs Prev Q (FY2025Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Total ARR,Increase,4.79%,505494.7199999988,ARR,11066715.1,10561220.38
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Opps,Drop/Decrease,-12.77%,-171.0,Count,1168.0,1339.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Won Opps,Drop/Decrease,-6.96%,-36.0,Count,481.0,517.0
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Won ARR,Drop/Decrease,-5.85%,-192440.11000000034,ARR,3094822.63,3287262.74
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Avg Sales Price,Increase,1.19%,75.80082504614347,Currency,6434.142681912682,6358.341856866538
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Win Rate (Count),Increase,6.74%,2.615988081104355,Percentage,41.42980189491817,38.813813813813816
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Avg Sales Cycle,Drop/Decrease,-4.91%,-3.4380903742605966,Days,66.56964656964657,70.00773694390716
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-22631394.35,ARR,0.0,22631394.35
FY2025Q2,vs Prev Year (FY2024Q2),Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1451.0,Count,0.0,1451.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Total ARR,Drop/Decrease,-3.11%,-355151.4199999999,ARR,11066715.1,11421866.52
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Opps,Drop/Decrease,-12.16%,-161.75,Count,1168.0,1329.75
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Won Opps,Drop/Decrease,-9.07%,-48.0,Count,481.0,529.0
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Won ARR,Drop/Decrease,-10.72%,-371534.41250000056,ARR,3094822.63,3466357.0425000004
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Avg Sales Price,Drop/Decrease,-2.28%,-150.35040808748454,Currency,6434.142681912682,6584.493090000166
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Win Rate (Count),Increase,2.97%,1.1938161010329722,Percentage,41.42980189491817,40.2359857938852
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Avg Sales Cycle,Drop/Decrease,-1.04%,-0.6974658037900099,Days,66.56964656964657,67.26711237343658
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-13110346.942499999,ARR,0.0,13110346.942499999
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1053.0,Count,0.0,1053.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Total ARR,Increase,7.05%,780553.5,ARR,11847268.6,11066715.1
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Opps,Increase,5.31%,62.0,Count,1230.0,1168.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Won Opps,Drop/Decrease,-5.20%,-25.0,Count,456.0,481.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Won ARR,Drop/Decrease,-5.63%,-174148.13999999966,ARR,2920674.49,3094822.63
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Avg Sales Price,Drop/Decrease,-0.45%,-29.154765246014904,Currency,6404.987916666667,6434.142681912682
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Win Rate (Count),Drop/Decrease,-9.34%,-3.868022652743541,Percentage,37.56177924217463,41.42980189491817
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Avg Sales Cycle,Increase,14.80%,9.849213079476243,Days,76.41885964912281,66.56964656964657
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2025Q3,vs Prev Q (FY2025Q2),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Total ARR,Drop/Decrease,-3.14%,-383905.8100000005,ARR,11847268.6,12231174.41
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Opps,Drop/Decrease,-18.54%,-280.0,Count,1230.0,1510.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Won Opps,Drop/Decrease,-23.10%,-137.0,Count,456.0,593.0
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Won ARR,Drop/Decrease,-16.68%,-584596.8300000001,ARR,2920674.49,3505271.3200000003
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Price,Increase,8.36%,493.9064326869029,Currency,6404.987916666667,5911.081483979764
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Win Rate (Count),Drop/Decrease,-5.05%,-1.9979272288060272,Percentage,37.56177924217463,39.55970647098066
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Avg Sales Cycle,Increase,18.35%,11.8471901718884,Days,76.41885964912281,64.57166947723441
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-14345959.9,ARR,0.0,14345959.9
FY2025Q3,vs Prev Year (FY2024Q3),Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1269.0,Count,0.0,1269.0
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Total ARR,Increase,2.59%,299028.3999999985,ARR,11847268.6,11548240.200000001
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Opps,Drop/Decrease,-4.43%,-57.0,Count,1230.0,1287.0
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Won Opps,Drop/Decrease,-12.31%,-64.0,Count,456.0,520.0
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Won ARR,Drop/Decrease,-14.56%,-497572.52499999944,ARR,2920674.49,3418247.0149999997
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Price,Drop/Decrease,-3.01%,-198.45537959503508,Currency,6404.987916666667,6603.443296261702
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Win Rate (Count),Drop/Decrease,-8.14%,-3.3282035719866556,Percentage,37.56177924217463,40.889982814161286
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Avg Sales Cycle,Increase,15.08%,10.011269869251379,Days,76.41885964912281,66.40758977987143
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-7452498.355,ARR,0.0,7452498.355
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-690.25,Count,0.0,690.25
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Total ARR,Drop/Decrease,-6.67%,-789620.5499999989,ARR,11057648.05,11847268.6
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Opps,Drop/Decrease,-7.48%,-92.0,Count,1138.0,1230.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Won Opps,Drop/Decrease,-12.28%,-56.0,Count,400.0,456.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Won ARR,Increase,8.46%,246987.43999999948,ARR,3167661.9299999997,2920674.49
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Price,Increase,23.64%,1514.1669083333327,Currency,7919.154825,6404.987916666667
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Win Rate (Count),Drop/Decrease,-4.92%,-1.8474935278889149,Percentage,35.714285714285715,37.56177924217463
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Avg Sales Cycle,Increase,0.99%,0.7561403508771889,Days,77.175,76.41885964912281
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2025Q4,vs Prev Q (FY2025Q3),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Total ARR,Drop/Decrease,-6.62%,-783807.8099999987,ARR,11057648.05,11841455.86
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Opps,Drop/Decrease,-9.61%,-121.0,Count,1138.0,1259.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Won Opps,Drop/Decrease,-19.19%,-95.0,Count,400.0,495.0
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Won ARR,Drop/Decrease,-11.84%,-425247.2700000005,ARR,3167661.9299999997,3592909.2
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Avg Sales Price,Increase,9.10%,660.7524007575748,Currency,7919.154825,7258.402424242425
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Win Rate (Count),Drop/Decrease,-10.61%,-4.237288135593218,Percentage,35.714285714285715,39.95157384987893
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Avg Sales Cycle,Increase,8.80%,6.243686868686865,Days,77.175,70.93131313131313
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-15464033.52,ARR,0.0,15464033.52
FY2025Q4,vs Prev Year (FY2024Q4),Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-1492.0,Count,0.0,1492.0
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Total ARR,Drop/Decrease,-3.45%,-394615.6974999998,ARR,11057648.05,11452263.7475
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Opps,Drop/Decrease,-6.49%,-79.0,Count,1138.0,1217.0
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Won Opps,Drop/Decrease,-17.65%,-85.75,Count,400.0,485.75
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Won ARR,Drop/Decrease,-3.19%,-104435.87750000041,ARR,3167661.9299999997,3272097.8075
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Avg Sales Price,Increase,17.72%,1192.2349205665723,Currency,7919.154825,6726.919904433427
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Win Rate (Count),Drop/Decrease,-11.58%,-4.676215292674065,Percentage,35.714285714285715,40.39050100695978
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Avg Sales Cycle,Increase,11.25%,7.805612677156475,Days,77.175,69.36938732284352
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,Pipegen ARR,Drop/Decrease,-100.00%,-3866008.38,ARR,0.0,3866008.38
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Total,# of Pipegen Opps,Drop/Decrease,-100.00%,-373.0,Count,0.0,373.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Total ARR,Increase,30.49%,3371651.91,ARR,14429299.96,11057648.05
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Opps,Increase,26.45%,301.0,Count,1439.0,1138.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Won Opps,Increase,4.25%,17.0,Count,417.0,400.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Won ARR,Drop/Decrease,-0.88%,-27831.33999999985,ARR,3139830.59,3167661.9299999997
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Price,Drop/Decrease,-4.92%,-389.5850648081532,Currency,7529.569760191846,7919.154825
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Win Rate (Count),Drop/Decrease,-17.43%,-6.223479490806223,Percentage,29.490806223479492,35.714285714285715
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Avg Sales Cycle,Drop/Decrease,-24.90%,-19.213369304556352,Days,57.961630695443645,77.175
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q1,vs Prev Q (FY2025Q4),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Total ARR,Increase,30.54%,3375684.530000001,ARR,14429299.96,11053615.43
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Opps,Increase,18.83%,228.0,Count,1439.0,1211.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Won Opps,Drop/Decrease,-18.40%,-94.0,Count,417.0,511.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Won ARR,Drop/Decrease,-9.77%,-340154.3200000003,ARR,3139830.59,3479984.91
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Avg Sales Price,Increase,10.56%,719.423165279909,Currency,7529.569760191846,6810.146594911937
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Win Rate (Count),Drop/Decrease,-30.80%,-13.128042817387897,Percentage,29.490806223479492,42.61884904086739
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Avg Sales Cycle,Drop/Decrease,-8.80%,-5.596099245847938,Days,57.961630695443645,63.55772994129158
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q1,vs Prev Year (FY2025Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Total ARR,Increase,28.19%,3172988.164999999,ARR,14429299.96,11256311.795000002
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Opps,Increase,21.26%,252.25,Count,1439.0,1186.75
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Won Opps,Drop/Decrease,-9.74%,-45.0,Count,417.0,462.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Won ARR,Drop/Decrease,-0.82%,-25955.400000000373,ARR,3139830.59,3165785.99
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Price,Increase,9.25%,637.4617555690247,Currency,7529.569760191846,6892.108004622822
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Win Rate (Count),Drop/Decrease,-25.02%,-9.840372749581984,Percentage,29.490806223479492,39.331178973061476
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Avg Sales Cycle,Drop/Decrease,-18.28%,-12.9686783445716,Days,57.961630695443645,70.93030904001525
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q1,vs Avg of FY2025Q1-FY2025Q4,Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Total ARR,Drop/Decrease,-4.42%,-637380.7100000009,ARR,13791919.25,14429299.96
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Opps,Drop/Decrease,-7.30%,-105.0,Count,1334.0,1439.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Won Opps,Drop/Decrease,-26.38%,-110.0,Count,307.0,417.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Won ARR,Drop/Decrease,-37.95%,-1191634.77,ARR,1948195.8199999998,3139830.59
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Avg Sales Price,Drop/Decrease,-15.72%,-1183.655037064811,Currency,6345.914723127035,7529.569760191846
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Win Rate (Count),Increase,5.79%,1.7083807683904304,Percentage,31.199186991869922,29.490806223479492
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Avg Sales Cycle,Increase,8.42%,4.87876018403518,Days,62.840390879478825,57.961630695443645
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q2,vs Prev Q (FY2026Q1),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Total ARR,Increase,24.63%,2725204.1500000004,ARR,13791919.25,11066715.1
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Opps,Increase,14.21%,166.0,Count,1334.0,1168.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Won Opps,Drop/Decrease,-36.17%,-174.0,Count,307.0,481.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Won ARR,Drop/Decrease,-37.05%,-1146626.81,ARR,1948195.8199999998,3094822.63
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Avg Sales Price,Drop/Decrease,-1.37%,-88.22795878564648,Currency,6345.914723127035,6434.142681912682
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Win Rate (Count),Drop/Decrease,-24.69%,-10.230614903048249,Percentage,31.199186991869922,41.42980189491817
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Avg Sales Cycle,Drop/Decrease,-5.60%,-3.72925569016774,Days,62.840390879478825,66.56964656964657
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q2,vs Prev Year (FY2025Q2),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Total ARR,Increase,13.98%,1691686.3224999998,ARR,13791919.25,12100232.9275
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Opps,Increase,7.26%,90.25,Count,1334.0,1243.75
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Won Opps,Drop/Decrease,-29.99%,-131.5,Count,307.0,438.5
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Won ARR,Drop/Decrease,-36.76%,-1132551.5900000003,ARR,1948195.8199999998,3080747.41
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Avg Sales Price,Drop/Decrease,-10.27%,-726.0490728157638,Currency,6345.914723127035,7071.963795942799
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Win Rate (Count),Drop/Decrease,-13.45%,-4.849981276844581,Percentage,31.199186991869922,36.0491682687145
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Avg Sales Cycle,Drop/Decrease,-9.62%,-6.690893349074436,Days,62.840390879478825,69.53128422855326
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q2,vs Avg of FY2025Q2-FY2026Q1,Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Total ARR,Increase,28.63%,3948459.710000001,ARR,17740378.96,13791919.25
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Opps,Drop/Decrease,-38.01%,-507.0,Count,827.0,1334.0
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Won Opps,Drop/Decrease,-100.00%,-307.0,Count,0.0,307.0
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Won ARR,Drop/Decrease,-100.00%,-1948195.8199999998,ARR,0.0,1948195.8199999998
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Avg Sales Price,Drop/Decrease,-100.00%,-6345.914723127035,Currency,0.0,6345.914723127035
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Win Rate (Count),Drop/Decrease,-100.00%,-31.199186991869922,Percentage,0.0,31.199186991869922
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Avg Sales Cycle,No Change,0.00%,0.0,Days,,62.840390879478825
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q3,vs Prev Q (FY2026Q2),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Total ARR,Increase,49.74%,5893110.360000001,ARR,17740378.96,11847268.6
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Opps,Drop/Decrease,-32.76%,-403.0,Count,827.0,1230.0
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Won Opps,Drop/Decrease,-100.00%,-456.0,Count,0.0,456.0
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Won ARR,Drop/Decrease,-100.00%,-2920674.49,ARR,0.0,2920674.49
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Avg Sales Price,Drop/Decrease,-100.00%,-6404.987916666667,Currency,0.0,6404.987916666667
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Win Rate (Count),Drop/Decrease,-100.00%,-37.56177924217463,Percentage,0.0,37.56177924217463
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Avg Sales Cycle,No Change,0.00%,0.0,Days,,76.41885964912281
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2026Q3,vs Prev Year (FY2025Q3),Overall Total,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2026Q3,vs Avg of FY2025Q3-FY2026Q2,Overall Total,Total ARR,Increase,38.80%,4958844.995000001,ARR,17740378.96,12781533.965
