Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-42.03%,-2262595.2199999997,ARR
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-1812063.24,ARR
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-90.78%,-591.0,Count
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-286.0,Count
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-45.110410094637224,Percentage
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-6335.885454545454,Currency
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Total ARR,Drop/Decrease,-75.26%,-4270340.390000001,ARR
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-1355598.69,ARR
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,# of Opps,Drop/Decrease,-92.61%,-451.0,Count
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-114.0,Count
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Win Rate (Count),Drop/Decrease,-100.00%,-23.456790123456788,Percentage
FY2026Q4,vs Prev Year (FY2025Q4),By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-11891.216578947367,Currency
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-48.72%,-2965560.79,ARR
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-1285131.06,ARR
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,# of Opps,Drop/Decrease,-90.21%,-552.75,Count
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-207.75,Count
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-34.05592057496985,Percentage
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-4635.732914866386,Currency
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Total ARR,Drop/Decrease,-82.80%,-6760538.324999999,ARR
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-778791.025,ARR
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,# of Opps,Drop/Decrease,-93.70%,-535.25,Count
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-73.25,Count
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Win Rate (Count),Drop/Decrease,-100.00%,-13.485738721810486,Percentage
FY2026Q4,vs Avg of FY2025Q4-FY2026Q3,By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-7820.812802433964,Currency
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-55.21%,-1722889.98,ARR
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-78.33%,-47.0,Count
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: New Business,Total ARR,Drop/Decrease,-67.82%,-952100.7000000001,ARR
FY2027Q1,vs Prev Q (FY2026Q4),By Bookings Type: New Business,# of Opps,Drop/Decrease,-77.78%,-28.0,Count
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-77.46%,-4803766.800000001,ARR
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-1977964.83,ARR
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-98.22%,-717.0,Count
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-323.0,Count
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-45.62146892655367,Percentage
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-6123.730123839009,Currency
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Total ARR,Drop/Decrease,-94.51%,-7775811.399999999,ARR
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-1161865.76,ARR
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,# of Opps,Drop/Decrease,-98.87%,-701.0,Count
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-94.0,Count
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Win Rate (Count),Drop/Decrease,-100.00%,-13.314447592067987,Percentage
FY2027Q1,vs Prev Year (FY2026Q1),By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-12360.274042553192,Currency
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-74.68%,-4122801.9650000003,ARR
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-832115.25,ARR
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,# of Opps,Drop/Decrease,-97.20%,-452.0,Count
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-136.25,Count
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-22.77831805131055,Percentage
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-3051.7615512300226,Currency
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Total ARR,Drop/Decrease,-93.63%,-6645053.9275,ARR
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-439891.3525,ARR
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,# of Opps,Drop/Decrease,-98.26%,-450.5,Count
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-44.75,Count
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Win Rate (Count),Drop/Decrease,-100.00%,-7.621541190946289,Percentage
FY2027Q1,vs Avg of FY2026Q1-FY2026Q4,By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-4848.008657697121,Currency
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-88.64%,-1239194.8599999999,ARR
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-76.92%,-10.0,Count
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: New Business,Total ARR,Drop/Decrease,-82.92%,-374616.9,ARR
FY2027Q2,vs Prev Q (FY2027Q1),By Bookings Type: New Business,# of Opps,Drop/Decrease,-75.00%,-6.0,Count
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-97.46%,-6092759.66,ARR
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-1350496.1700000002,ARR
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-99.58%,-714.0,Count
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-222.0,Count
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-45.49180327868852,Percentage
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-6083.316081081081,Currency
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Total ARR,Drop/Decrease,-98.97%,-7447249.59,ARR
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-597699.6499999999,ARR
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,# of Opps,Drop/Decrease,-99.67%,-613.0,Count
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-85.0,Count
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Win Rate (Count),Drop/Decrease,-100.00%,-17.17171717171717,Percentage
FY2027Q2,vs Prev Year (FY2026Q2),By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-7031.760588235293,Currency
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-96.33%,-4161055.125,ARR
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Won ARR,Drop/Decrease,-100.00%,-337624.04250000004,ARR
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,# of Opps,Drop/Decrease,-98.95%,-282.75,Count
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,# of Won Opps,Drop/Decrease,-100.00%,-55.5,Count
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Win Rate (Count),Drop/Decrease,-100.00%,-11.37295081967213,Percentage
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: Expansion,Avg Sales Price,Drop/Decrease,-100.00%,-1520.8290202702703,Currency
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,Total ARR,Drop/Decrease,-98.50%,-5075717.9775,ARR
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,Won ARR,Drop/Decrease,-100.00%,-149424.91249999998,ARR
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,# of Opps,Drop/Decrease,-99.29%,-281.25,Count
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,# of Won Opps,Drop/Decrease,-100.00%,-21.25,Count
FY2027Q2,vs Avg of FY2026Q2-FY2027Q1,By Bookings Type: New Business,Avg Sales Price,Drop/Decrease,-100.00%,-1757.9401470588232,Currency
FY2027Q3,vs Prev Q (FY2027Q2),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-62.60%,-99375.8,ARR
FY2027Q3,vs Prev Year (FY2026Q3),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-99.09%,-6449556.9399999995,ARR
FY2027Q3,vs Prev Year (FY2026Q3),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-99.15%,-350.0,Count
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-97.88%,-2737241.01,ARR
FY2027Q3,vs Avg of FY2026Q3-FY2027Q2,By Bookings Type: Expansion,# of Opps,Drop/Decrease,-97.20%,-104.25,Count
FY2027Q4,vs Prev Q (FY2027Q3),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-100.00%,-59360.2,ARR
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-100.00%,-3120820.84,ARR
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-98.33%,-59.0,Count
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: New Business,Total ARR,Drop/Decrease,-99.50%,-1396854.8,ARR
FY2027Q4,vs Prev Year (FY2026Q4),By Bookings Type: New Business,# of Opps,Drop/Decrease,-97.22%,-35.0,Count
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-100.00%,-1184211.9749999999,ARR
FY2027Q4,vs Avg of FY2026Q4-FY2027Q3,By Bookings Type: Expansion,# of Opps,Drop/Decrease,-94.94%,-18.75,Count
FY2028Q1,vs Prev Year (FY2027Q1),By Bookings Type: Expansion,Total ARR,Drop/Decrease,-95.81%,-1339421.0999999999,ARR
FY2028Q1,vs Prev Year (FY2027Q1),By Bookings Type: Expansion,# of Opps,Drop/Decrease,-84.62%,-11.0,Count
FY2028Q1,vs Avg of FY2027Q1-FY2027Q4,By Bookings Type: Expansion,Total ARR,Drop/Decrease,-85.52%,-345497.00499999995,ARR
FY2028Q2,vs Prev Year (FY2027Q2),By Bookings Type: New Business,Total ARR,Drop/Decrease,-92.02%,-71016.8,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Enterprise,Total ARR,Drop/Decrease,-28.47%,-515897.14000000013,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Enterprise,Won ARR,Drop/Decrease,-30.24%,-547897.1399999999,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Enterprise,Win Rate (Count),Drop/Decrease,-20.51%,-7.8837508028259435,Percentage
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Enterprise,Avg Sales Cycle,Increase,27.99%,14.75324675324675,Days
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Mid Market,Won ARR,Drop/Decrease,-20.01%,-279993.1499999999,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Mid Market,Avg Sales Cycle,Increase,20.61%,8.661069864839135,Days
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,Total ARR,Drop/Decrease,-38.91%,-510361.28000000014,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,Won ARR,Drop/Decrease,-39.14%,-513361.2799999998,ARR
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,# of Won Opps,Drop/Decrease,-23.57%,-99.0,Count
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,Win Rate (Count),Drop/Decrease,-17.46%,-5.90338164251208,Percentage
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,Avg Sales Cycle,Increase,18.65%,5.393213173119719,Days
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: SMB,Avg Sales Price,Drop/Decrease,-20.36%,-636.0107398753889,Currency
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Self Serve,Avg Sales Cycle,Increase,6800.00%,68.0,Days
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Self Serve,Avg Sales Price,Increase,100.00%,2870.4,Currency
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Self Service,Win Rate (Count),Drop/Decrease,-17.97%,-9.583333333333336,Percentage
FY2023Q2,vs Prev Q (FY2023Q1),By Segment: Self Service,Avg Sales Cycle,Increase,1075.00%,43.0,Days
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Enterprise,Win Rate (Count),Drop/Decrease,-18.38%,-5.615221426677277,Percentage
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Enterprise,Avg Sales Cycle,Increase,24.01%,16.19753930280247,Days
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Mid Market,Total ARR,Drop/Decrease,-20.12%,-227402.91999999993,ARR
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Mid Market,Won ARR,Drop/Decrease,-22.46%,-251402.91999999993,ARR
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Mid Market,Avg Sales Price,Drop/Decrease,-25.67%,-1126.6251281144032,Currency
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: SMB,Avg Sales Cycle,Drop/Decrease,-29.99%,-10.29054535900612,Days
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Serve,Win Rate (Count),Drop/Decrease,-100.00%,-7.6923076923076925,Percentage
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Serve,Avg Sales Price,Drop/Decrease,-100.00%,-5740.8,Currency
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Service,# of Won Opps,Drop/Decrease,-85.71%,-6.0,Count
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Service,Win Rate (Count),Drop/Decrease,-80.95%,-35.41666666666667,Percentage
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Service,Avg Sales Cycle,Increase,123.40%,58.0,Days
FY2023Q3,vs Prev Q (FY2023Q2),By Segment: Self Service,Avg Sales Price,Increase,2317.57%,9054.414285714287,Currency
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Enterprise,Avg Sales Cycle,Drop/Decrease,-23.86%,-19.958886203324624,Days
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Mid Market,# of Won Opps,Drop/Decrease,-23.68%,-63.0,Count
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: SMB,Total ARR,Drop/Decrease,-40.35%,-341380.42,ARR
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: SMB,Won ARR,Drop/Decrease,-42.02%,-354275.55999999994,ARR
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: SMB,Avg Sales Cycle,Increase,49.12%,11.799644621652075,Days
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: SMB,Avg Sales Price,Drop/Decrease,-30.76%,-781.0672943572849,Currency
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Self Serve,Win Rate (Count),Increase,0.00%,5.88235294117647,Percentage
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Self Service,# of Opps,Increase,50.00%,6.0,Count
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Self Service,Win Rate (Count),Drop/Decrease,-100.00%,-8.333333333333332,Percentage
FY2023Q4,vs Prev Q (FY2023Q3),By Segment: Self Service,Avg Sales Price,Drop/Decrease,-100.00%,-9445.1,Currency
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Enterprise,Total ARR,Increase,520.50%,5896900.32,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Enterprise,Won ARR,Increase,37.80%,395937.5099999998,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Enterprise,Avg Sales Price,Increase,42.96%,2319.4351651138422,Currency
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Mid Market,Total ARR,Increase,371.09%,2982298.84,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Mid Market,Won ARR,Increase,36.72%,278150.31999999995,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Mid Market,# of Opps,Drop/Decrease,-24.61%,-189.0,Count
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Mid Market,Avg Sales Cycle,Increase,15.23%,7.2468558218895325,Days
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Mid Market,Avg Sales Price,Increase,55.05%,2054.220859179349,Currency
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: SMB,Total ARR,Increase,547.27%,2762439.7199999997,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: SMB,Won ARR,Increase,70.50%,344639.6699999999,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: SMB,# of Won Opps,Drop/Decrease,-24.82%,-69.0,Count
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: SMB,Avg Sales Price,Increase,126.78%,2229.564614643213,Currency
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Self Serve,Total ARR,Increase,3565.45%,94128.0,ARR
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Self Serve,# of Opps,Increase,64.71%,11.0,Count
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Self Serve,Win Rate (Count),Drop/Decrease,-100.00%,-5.88235294117647,Percentage
FY2024Q1,vs Prev Q (FY2023Q4),By Segment: Self Serve,Avg Sales Price,Drop/Decrease,-100.00%,-2640.0,Currency
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Enterprise,Total ARR,Increase,287.99%,5217972.699999999,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Enterprise,Won ARR,Drop/Decrease,-20.33%,-368407.94999999995,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Enterprise,# of Won Opps,Drop/Decrease,-29.70%,-79.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Enterprise,Win Rate (Count),Drop/Decrease,-27.17%,-10.445294382333596,Percentage
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,Total ARR,Increase,170.58%,2386771.12,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,Won ARR,Drop/Decrease,-25.98%,-363558.4199999999,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,# of Opps,Drop/Decrease,-37.54%,-348.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,# of Won Opps,Drop/Decrease,-42.07%,-130.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,Avg Sales Cycle,Increase,30.48%,12.808862613223404,Days
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Mid Market,Avg Sales Price,Increase,27.77%,1257.5437963515396,Currency
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,Total ARR,Increase,149.07%,1955443.9299999997,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,Won ARR,Drop/Decrease,-36.46%,-478251.2599999999,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,# of Opps,Drop/Decrease,-32.93%,-409.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,# of Won Opps,Drop/Decrease,-50.24%,-211.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,Win Rate (Count),Drop/Decrease,-25.72%,-8.696232813080641,Percentage
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: SMB,Avg Sales Price,Increase,27.69%,864.8548604465709,Currency
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Serve,Total ARR,Increase,3271.24%,93897.6,ARR
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Serve,# of Opps,Increase,211.11%,19.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Serve,Win Rate (Count),Drop/Decrease,-100.00%,-11.11111111111111,Percentage
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Serve,Avg Sales Price,Drop/Decrease,-100.00%,-2870.4,Currency
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Service,# of Won Opps,Drop/Decrease,-100.00%,-8.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),By Segment: Self Service,Win Rate (Count),Drop/Decrease,-100.00%,-53.333333333333336,Percentage
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Enterprise,Total ARR,Increase,418.53%,5674109.91,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Enterprise,Avg Sales Price,Increase,32.62%,1898.4660123056274,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Mid Market,Total ARR,Increase,257.52%,2727000.355,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Mid Market,# of Opps,Drop/Decrease,-32.65%,-280.75,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Mid Market,# of Won Opps,Drop/Decrease,-30.69%,-79.25,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Mid Market,Avg Sales Price,Increase,45.45%,1807.9249471710446,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: SMB,Total ARR,Increase,277.27%,2401187.04,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: SMB,# of Opps,Drop/Decrease,-27.36%,-313.75,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: SMB,# of Won Opps,Drop/Decrease,-38.12%,-128.75,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: SMB,Avg Sales Price,Increase,61.00%,1510.945598924418,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Serve,Total ARR,Increase,3340.27%,93955.2,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Serve,# of Opps,Increase,100.00%,14.0,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Serve,Win Rate (Count),Drop/Decrease,-100.00%,-6.171442936148819,Percentage
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Serve,Avg Sales Price,Drop/Decrease,-100.00%,-2812.8,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Service,Total ARR,Increase,4408.42%,134235.285,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Service,Win Rate (Count),Drop/Decrease,-100.00%,-26.354166666666668,Percentage
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,By Segment: Self Service,Avg Sales Price,Drop/Decrease,-100.00%,-2458.9464285714284,Currency
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Total ARR,Drop/Decrease,-21.85%,-1535668.6600000001,ARR
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Won ARR,Increase,21.40%,308969.2200000002,ARR
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,# of Opps,Drop/Decrease,-24.52%,-165.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Win Rate (Count),Increase,35.55%,9.950652055572643,Percentage
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Enterprise,Avg Sales Cycle,Increase,49.19%,28.981394830659532,Days
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,# of Opps,Drop/Decrease,-21.59%,-125.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,Win Rate (Count),Increase,25.89%,8.017926009481272,Percentage
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: Mid Market,Avg Sales Cycle,Increase,36.11%,19.800429252280402,Days
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Total ARR,Drop/Decrease,-44.17%,-1443179.9299999997,ARR
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Won ARR,Drop/Decrease,-25.71%,-214301.57999999996,ARR
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,# of Opps,Drop/Decrease,-58.10%,-484.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,# of Won Opps,Drop/Decrease,-31.58%,-66.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),By Segment: SMB,Win Rate (Count),Increase,64.53%,16.209287461093822,Percentage
